Group	Sample	cd4_subcluster	.n	.frac
Post non-responsive	P13_post_2	s1	137	0.0975783475783476
Post non-responsive	P13_post_2	s2	240	0.170940170940171
Post non-responsive	P13_post_2	s3	174	0.123931623931624
Post non-responsive	P13_post_2	s4	182	0.12962962962963
Post non-responsive	P13_post_2	s5	225	0.16025641025641
Post non-responsive	P13_post_2	s6	96	0.0683760683760684
Post non-responsive	P13_post_2	s7	42	0.0299145299145299
Post non-responsive	P13_post_2	s8	93	0.0662393162393162
Post non-responsive	P13_post_2	s9	52	0.037037037037037
Post non-responsive	P13_post_2	s10	97	0.0690883190883191
Post non-responsive	P13_post_2	s11	48	0.0341880341880342
Post non-responsive	P13_post_2	s12	18	0.0128205128205128
Post non-responsive	P1_post_3	s1	206	0.193609022556391
Post non-responsive	P1_post_3	s2	276	0.259398496240602
Post non-responsive	P1_post_3	s3	180	0.169172932330827
Post non-responsive	P1_post_3	s4	55	0.0516917293233083
Post non-responsive	P1_post_3	s5	78	0.0733082706766917
Post non-responsive	P1_post_3	s6	14	0.0131578947368421
Post non-responsive	P1_post_3	s7	82	0.0770676691729323
Post non-responsive	P1_post_3	s8	31	0.0291353383458647
Post non-responsive	P1_post_3	s9	75	0.0704887218045113
Post non-responsive	P1_post_3	s10	44	0.0413533834586466
Post non-responsive	P1_post_3	s11	17	0.0159774436090226
Post non-responsive	P1_post_3	s12	6	0.0056390977443609
Post non-responsive	P36_post_1	s1	297	0.195394736842105
Post non-responsive	P36_post_1	s2	229	0.150657894736842
Post non-responsive	P36_post_1	s3	266	0.175
Post non-responsive	P36_post_1	s4	299	0.196710526315789
Post non-responsive	P36_post_1	s5	170	0.111842105263158
Post non-responsive	P36_post_1	s6	12	0.00789473684210526
Post non-responsive	P36_post_1	s7	71	0.0467105263157895
Post non-responsive	P36_post_1	s8	22	0.0144736842105263
Post non-responsive	P36_post_1	s9	64	0.0421052631578947
Post non-responsive	P36_post_1	s10	55	0.0361842105263158
Post non-responsive	P36_post_1	s11	31	0.0203947368421053
Post non-responsive	P36_post_1	s12	4	0.00263157894736842
Post non-responsive	P37_post_1	s1	20	0.0909090909090909
Post non-responsive	P37_post_1	s2	10	0.0454545454545455
Post non-responsive	P37_post_1	s3	12	0.0545454545454545
Post non-responsive	P37_post_1	s4	6	0.0272727272727273
Post non-responsive	P37_post_1	s5	14	0.0636363636363636
Post non-responsive	P37_post_1	s6	2	0.00909090909090909
Post non-responsive	P37_post_1	s7	6	0.0272727272727273
Post non-responsive	P37_post_1	s8	100	0.454545454545455
Post non-responsive	P37_post_1	s9	13	0.0590909090909091
Post non-responsive	P37_post_1	s10	14	0.0636363636363636
Post non-responsive	P37_post_1	s11	23	0.104545454545455
Post non-responsive	P38_post_1	s1	136	0.103975535168196
Post non-responsive	P38_post_1	s2	72	0.055045871559633
Post non-responsive	P38_post_1	s3	55	0.0420489296636086
Post non-responsive	P38_post_1	s4	17	0.0129969418960245
Post non-responsive	P38_post_1	s5	19	0.014525993883792
Post non-responsive	P38_post_1	s6	44	0.0336391437308868
Post non-responsive	P38_post_1	s7	60	0.0458715596330275
Post non-responsive	P38_post_1	s8	627	0.479357798165138
Post non-responsive	P38_post_1	s9	29	0.02217125382263
Post non-responsive	P38_post_1	s10	111	0.0848623853211009
Post non-responsive	P38_post_1	s11	133	0.101681957186544
Post non-responsive	P38_post_1	s12	5	0.00382262996941896
Post responsive	P10_post_1	s1	267	0.249067164179104
Post responsive	P10_post_1	s2	137	0.127798507462687
Post responsive	P10_post_1	s3	37	0.0345149253731343
Post responsive	P10_post_1	s4	126	0.117537313432836
Post responsive	P10_post_1	s5	221	0.20615671641791
Post responsive	P10_post_1	s6	6	0.00559701492537313
Post responsive	P10_post_1	s7	93	0.0867537313432836
Post responsive	P10_post_1	s8	29	0.0270522388059701
Post responsive	P10_post_1	s9	120	0.111940298507463
Post responsive	P10_post_1	s10	20	0.0186567164179104
Post responsive	P10_post_1	s11	15	0.0139925373134328
Post responsive	P10_post_1	s12	1	0.000932835820895522
Post responsive	P13_post_1	s1	160	0.113234253361642
Post responsive	P13_post_1	s2	290	0.205237084217976
Post responsive	P13_post_1	s3	252	0.178343949044586
Post responsive	P13_post_1	s4	138	0.0976645435244161
Post responsive	P13_post_1	s5	15	0.0106157112526539
Post responsive	P13_post_1	s6	116	0.0820948336871904
Post responsive	P13_post_1	s7	137	0.0969568294409059
Post responsive	P13_post_1	s8	44	0.0311394196744515
Post responsive	P13_post_1	s9	95	0.0672328379334749
Post responsive	P13_post_1	s10	110	0.0778485491861288
Post responsive	P13_post_1	s11	32	0.0226468506723284
Post responsive	P13_post_1	s12	24	0.0169851380042463
Post responsive	P19_post_1	s1	14	0.0115894039735099
Post responsive	P19_post_1	s2	8	0.00662251655629139
Post responsive	P19_post_1	s3	1	0.000827814569536424
Post responsive	P19_post_1	s4	238	0.197019867549669
Post responsive	P19_post_1	s5	172	0.142384105960265
Post responsive	P19_post_1	s6	5	0.00413907284768212
Post responsive	P19_post_1	s7	106	0.0877483443708609
