Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Interferon Gamma Response	143/200	9.08981988582604e-68	4.54490994291302e-66	0	0	13.3512805001008	2061.01889597026	IFITM3;SAMD9L;IFITM2;SPPL2A;UBE2L6;IFI35;IFIT1;IFI30;IFIT3;IFI44L;IFIT2;ICAM1;MT2A;NAMPT;DHX58;TNFSF10;EPSTI1;PIM1;TRIM25;TRIM26;TRIM21;B2M;CMTR1;HERC6;ZBP1;IFNAR2;IL15RA;RSAD2;SP110;HLA-B;TAP1;TRAFD1;ARID5B;HLA-A;HLA-G;IFI27;MTHFD2;PSME1;TRIM14;PSME2;TXNIP;CMPK2;LAP3;RBCK1;LY6E;CD274;CSF2RB;DDX60;HIF1A;HELZ2;SOCS3;RNF213;SOCS1;ST8SIA4;ISOC1;ST3GAL5;RIPK1;HLA-DQA1;PNPT1;EIF2AK2;IFI44;ISG15;TDRD7;NMI;PARP14;PARP12;BST2;ISG20;NFKBIA;CXCL10;IL7;XAF1;HLA-DRB1;MYD88;OGFR;LGALS3BP;RTP4;CD40;EIF4E3;TNFAIP6;ADAR;OASL;IFIH1;CASP7;CASP8;CASP3;CASP4;CASP1;CD38;JAK2;IL15;DDX58;NCOA3;TAPBP;VAMP8;PLSCR1;PSMA3;PSMA2;OAS2;IRF4;IRF1;OAS3;IRF2;PELI1;IRF7;LCP2;IRF5;VAMP5;IRF9;RNF31;MVP;FGL2;NLRC5;NOD1;SAMHD1;USP18;PSMB10;HLA-DMA;APOL6;SLC25A28;PSMB2;CCL2;GBP4;CD74;PTPN1;GCH1;STAT1;STAT2;IL10RA;MX2;STAT3;MX1;LYSMD2;PSMB8;PML;PSMB9;ZNFX1;IL2RB;FAS;PTPN6;CD69;PTPN2;PFKP
Interferon Alpha Response	86/97	1.5174914647624e-55	3.79372866190599e-54	0	0	40.9761965848513	5172.22539233716	IFITM3;LGALS3BP;RTP4;OGFR;IFITM1;SAMD9L;IFITM2;CSF1;UBE2L6;ADAR;IFI35;TMEM140;IFI30;IFIT3;IFI44L;IFIT2;OASL;IFIH1;NUB1;CASP8;TRIM5;LAMP3;DHX58;EPSTI1;CASP1;TRIM25;TRIM26;TRIM21;B2M;CMTR1;HERC6;RSAD2;SP110;IL15;TAP1;HLA-C;TRAFD1;TENT5A;PARP9;PLSCR1;PSMA3;ELF1;IFI27;OAS1;IRF1;IRF2;PSME1;IRF7;CMPK2;TRIM14;PSME2;TXNIP;LAP3;CD47;IRF9;LY6E;RNF31;UBA7;CNP;SAMD9;GMPR;DDX60;USP18;HELZ2;SLC25A28;GBP2;GBP4;CD74;PNPT1;STAT2;MX1;IFI44;EIF2AK2;ISG15;TDRD7;NMI;PARP14;PARP12;PSMB8;PSMB9;BST2;ISG20;CXCL10;MOV10;SELL;IL7
Oxidative Phosphorylation	111/200	7.53851616449525e-37	1.25641936074921e-35	0	0	6.55760735237716	545.433077403934	MTRR;COX6A1;ATP6V1E1;ACAA1;ATP6V1G1;ATP6V0E1;ECH1;SDHD;SDHA;SDHB;COX6B1;COX7A2L;UQCRC1;VDAC3;SUCLG1;UQCRC2;ISCU;COX17;ATP5MC2;ATP5MC3;HTRA2;COX7A2;MRPL15;ACAT1;PRDX3;ATP6V1H;CYC1;NDUFV2;ATP6V1D;ATP6V1C1;ATP5MF;COX10;DECR1;ATP6V1F;ATP5ME;SURF1;IDH1;IDH2;GOT2;CS;UQCRQ;OGDH;COX7B;ALAS1;MRPS11;ETFA;ETFB;TCIRG1;MRPL34;MRPL35;CASP7;AIFM1;IDH3B;TIMM17A;ACADM;IDH3A;COX8A;BCKDHA;ATP6V0B;ATP6AP1;NDUFC2;NDUFC1;HADHB;BDH2;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;SLC25A12;DLD;SLC25A11;NDUFB8;ECHS1;NDUFB7;NDUFB5;NDUFB4;NDUFB3;TIMM13;NDUFB2;NDUFB1;UQCR11;UQCR10;MRPS30;COX5B;COX5A;HSD17B10;ATP5F1A;POLR2F;NDUFA9;TIMM8B;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;NDUFAB1;BAX
Allograft Rejection	76/200	1.27232426794321e-13	1.59040533492901e-12	0	0	3.18062096017909	94.4414175214847	ITK;CD40;SPI1;CSF1;CD80;NCF4;LY75;CTSS;ICAM1;IL27RA;IKBKB;CCND3;CCND2;SIT1;CCR5;JAK2;B2M;NCK1;IL10;MAP4K1;IFNAR2;EIF5A;IL15;IFNGR2;TAP2;TAP1;TRAF2;HLA-A;HLA-G;HLA-E;TAPBP;LCK;IRF4;IRF7;HCLS1;LCP2;CD47;LTB;GCNT1;BCL10;CD1D;IL2RG;HIF1A;HDAC9;PSMB10;CD79A;HLA-DMA;SOCS1;CXCR3;ST8SIA4;CCL2;CSK;IL12RB1;GBP2;HLA-DQA1;CCR1;CD74;FYB1;STAT1;CDKN2A;CD2;CD4;IL7;IL2RA;ABI1;BCL3;CD7;EIF3J;IL2RB;CD28;UBE2N;FAS;HLA-DRA;DEGS1;PTPN6;CD247
IL-6/JAK/STAT3 Signaling	41/87	2.06612439816115e-11	2.06612439816115e-10	0	0	4.59680433438197	113.094080434204	CSF1;EBI3;CSF2RB;IL2RG;PIK3R5;SOCS3;SOCS1;PIM1;CD38;HMOX1;BAK1;IL12RB1;CCR1;IL15RA;PTPN1;JUN;ITGA4;IL1R1;STAT1;IL10RB;IFNGR2;IL1R2;STAT2;STAT3;TNFRSF1B;IL17RB;CXCL10;IL7;IRF1;IL2RA;IL3RA;FAS;GRB2;LTB;IL6ST;STAM2;IRF9;MYD88;PTPN2;IL18R1;CRLF2
IL-2/STAT5 Signaling	70/199	7.43709759499113e-11	6.19758132915927e-10	0	0	2.80985378950042	65.5312846423644	IFITM3;PHTF2;CD83;CSF1;CTSZ;RORA;AHR;IKZF2;IKZF4;CCND3;CCND2;CASP3;NFKBIZ;TNFSF10;PIM1;CTLA4;TNFRSF8;CCR4;TNFRSF4;PHLDA1;IL10;CISH;GSTO1;IL1R2;NCOA3;ANXA4;SWAP70;TNFRSF18;FLT3LG;RHOH;TRAF1;TNFRSF1B;TIAM1;PLSCR1;IRF4;IL3RA;TLR7;CD48;PLIN2;LTB;FGL2;NDRG1;CD79B;SOCS2;IL1RL1;SYNGR2;SOCS1;PLAGL1;SNX9;ICOS;DCPS;GBP4;PRNP;RABGAP1L;POU2F1;IL10RA;TNFRSF9;BATF;TTC39B;CXCL10;MYO1E;KLF6;AMACR;SELL;IL2RA;IL2RB;BCL2;GALM;IL18R1;BCL2L1
Adipogenesis	70/200	9.62922918340078e-11	6.87802084528627e-10	0	0	2.78807152286091	64.3030579449293	SLC25A1;COX7B;MTCH2;ARAF;ETFB;COX6A1;GPHN;SCP2;AIFM1;DBT;PIM3;ACADM;ACADS;HIBCH;IDH3A;COX8A;BCKDHA;JAGN1;APLP2;ECH1;TALDO1;ELMOD3;SDHB;UQCRC1;NDUFS3;SUCLG1;PLIN2;ALDOA;DLD;ECHS1;CD151;NDUFB7;AK2;BAZ2A;ABCB8;UQCR11;MRPL15;UQCR10;TANK;AGPAT3;PRDX3;SAMM50;DHRS7B;UCP2;UBC;APOE;CYC1;DRAM2;DECR1;STAT5A;ABCA1;NDUFA5;GADD45A;RIOK3;MDH2;IDH3G;IDH1;EPHX2;SQOR;COQ9;DNAJC15;COQ5;SOD1;CS;PFKL;UCK1;UQCRQ;CCNG2;NDUFAB1;NABP1
Protein Secretion	40/96	3.44876015400503e-09	2.15547509625314e-08	0	0	3.68050342238905	71.7155331614456	NAPA;STX12;ARF1;TSG101;SGMS1;STX16;VPS4B;GOSR2;SNAP23;ICA1;CLTA;NAPG;LMAN1;LAMP2;AP2S1;ATP6V1H;ARFIP1;AP2M1;CTSC;RAB2A;ABCA1;STX7;ADAM10;STAM;SCAMP1;SCAMP3;SOD1;VAMP7;RER1;RAB14;TMX1;PPT1;YIPF6;RAB9A;ERGIC3;VAMP4;SEC22B;RAB5A;COPE;VAMP3
PI3K/AKT/mTOR  Signaling	41/105	2.10699144900017e-08	1.1705508050001e-07	0	0	3.30038748453927	58.3357338546468	ARF1;CDKN1B;RALB;YWHAB;MAPKAP1;UBE2D3;PTEN;PRKAG1;DAPP1;NOD1;ECSIT;IL2RG;TBK1;MKNK1;RPS6KA1;CFL1;THEM4;RIPK1;PLCG1;RAC1;EIF4E;AP2M1;NCK1;MAP2K3;ACTR3;ACTR2;STAT2;TRAF2;IRAK4;PPP1CA;TIAM1;ARPC3;LCK;CSNK2B;UBE2N;PIN1;TRIB3;GRB2;PFN1;SQSTM1;MYD88
Inflammatory Response	63/200	8.14976392887663e-08	4.07488196443832e-07	0	0	2.37486251374863	38.7641488386846	RTP4;IFITM1;CD40;CSF1;CD82;TNFAIP6;AHR;ICAM1;ADGRE1;RGS1;LAMP3;NAMPT;C3AR1;TNFSF10;IL10;IL15RA;PTGIR;IL1R1;IL15;IFNGR2;RHOG;EMP3;TNFRSF1B;TAPBP;LCK;IRF1;IRF7;LTA;CD48;LCP2;LY6E;EBI3;GNAI3;CXCR6;PSEN1;ATP2C1;HIF1A;RASGRP1;PIK3R5;GNA15;IRAK2;CCL2;LDLR;SLAMF1;ABCA1;GCH1;CCL20;CD70;IL10RA;TNFRSF9;ADRM1;EIF2AK2;OPRK1;NMI;BST2;NFKBIA;CXCL10;KLF6;SELL;ABI1;IL2RB;CD69;IL18R1
