Group	Sample	cd8_subcluster	.n	.frac
Post non-responsive	P13_post_2	s1	486	0.286556603773585
Post non-responsive	P13_post_2	s2	779	0.459316037735849
Post non-responsive	P13_post_2	s3	371	0.21875
Post non-responsive	P13_post_2	s4	60	0.035377358490566
Post non-responsive	P1_post_3	s1	313	0.27921498661909
Post non-responsive	P1_post_3	s2	590	0.526315789473684
Post non-responsive	P1_post_3	s3	182	0.16235504014273
Post non-responsive	P1_post_3	s4	36	0.032114183764496
Post non-responsive	P36_post_1	s1	936	0.390651085141903
Post non-responsive	P36_post_1	s2	994	0.414858096828047
Post non-responsive	P36_post_1	s3	429	0.179048414023372
Post non-responsive	P36_post_1	s4	37	0.0154424040066778
Post non-responsive	P37_post_1	s1	42	0.428571428571429
Post non-responsive	P37_post_1	s2	23	0.23469387755102
Post non-responsive	P37_post_1	s3	21	0.214285714285714
Post non-responsive	P37_post_1	s4	12	0.122448979591837
Post non-responsive	P38_post_1	s1	128	0.275862068965517
Post non-responsive	P38_post_1	s2	195	0.420258620689655
Post non-responsive	P38_post_1	s3	81	0.174568965517241
Post non-responsive	P38_post_1	s4	60	0.129310344827586
Post responsive	P10_post_1	s1	519	0.49054820415879
Post responsive	P10_post_1	s2	306	0.289224952741021
Post responsive	P10_post_1	s3	224	0.2117202268431
Post responsive	P10_post_1	s4	9	0.00850661625708885
Post responsive	P13_post_1	s1	520	0.305522914218566
Post responsive	P13_post_1	s2	914	0.537015276145711
Post responsive	P13_post_1	s3	144	0.0846063454759107
Post responsive	P13_post_1	s4	124	0.072855464159812
Post responsive	P19_post_1	s1	2389	0.925251742835012
Post responsive	P19_post_1	s2	178	0.0689388071262587
Post responsive	P19_post_1	s3	10	0.00387296669248644
Post responsive	P19_post_1	s4	5	0.00193648334624322
Post responsive	P1_post_1	s1	204	0.145195729537367
Post responsive	P1_post_1	s2	945	0.672597864768683
Post responsive	P1_post_1	s3	211	0.150177935943061
Post responsive	P1_post_1	s4	45	0.0320284697508897
Post responsive	P1_post_2	s1	392	0.279401282965075
Post responsive	P1_post_2	s2	622	0.443335709194583
Post responsive	P1_post_2	s3	335	0.238774055595153
Post responsive	P1_post_2	s4	54	0.0384889522451889
Post responsive	P29_post_1	s1	261	0.469424460431655
Post responsive	P29_post_1	s2	215	0.386690647482014
Post responsive	P29_post_1	s3	45	0.0809352517985611
Post responsive	P29_post_1	s4	35	0.0629496402877698
Post responsive	P30_post_1	s1	1641	0.492053973013493
Post responsive	P30_post_1	s2	1303	0.390704647676162
Post responsive	P30_post_1	s3	380	0.113943028485757
Post responsive	P30_post_1	s4	11	0.00329835082458771
Post responsive	P33_post_1	s1	668	0.343268242548818
Post responsive	P33_post_1	s2	687	0.353031860226105
Post responsive	P33_post_1	s3	569	0.292394655704008
Post responsive	P33_post_1	s4	22	0.0113052415210689
Post responsive	P35_post_1	s1	874	0.445236882322975
Post responsive	P35_post_1	s2	479	0.244014263881814
Post responsive	P35_post_1	s3	572	0.291390728476821
Post responsive	P35_post_1	s4	38	0.0193581253183902
Treatment naive	P10_pre	s1	754	0.39957604663487
Treatment naive	P10_pre	s2	470	0.249072602013778
Treatment naive	P10_pre	s3	494	0.261791202967674
Treatment naive	P10_pre	s4	169	0.0895601483836778
Treatment naive	P11_pre	s1	400	0.479041916167665
Treatment naive	P11_pre	s2	256	0.306586826347305
Treatment naive	P11_pre	s3	129	0.154491017964072
Treatment naive	P11_pre	s4	50	0.0598802395209581
Treatment naive	P12_pre	s1	732	0.567441860465116
Treatment naive	P12_pre	s2	348	0.269767441860465
Treatment naive	P12_pre	s3	173	0.134108527131783
Treatment naive	P12_pre	s4	37	0.0286821705426357
Treatment naive	P13_pre	s1	123	0.273942093541203
Treatment naive	P13_pre	s2	211	0.469933184855234
Treatment naive	P13_pre	s3	100	0.22271714922049
Treatment naive	P13_pre	s4	15	0.0334075723830735
Treatment naive	P14_pre	s1	254	0.306024096385542
Treatment naive	P14_pre	s2	308	0.371084337349398
Treatment naive	P14_pre	s3	249	0.3
Treatment naive	P14_pre	s4	19	0.0228915662650602
Treatment naive	P15_pre	s1	205	0.345699831365936
Treatment naive	P15_pre	s2	264	0.445193929173693
Treatment naive	P15_pre	s3	100	0.168634064080944
Treatment naive	P15_pre	s4	24	0.0404721753794266
Treatment naive	P16_pre	s1	224	0.461855670103093
Treatment naive	P16_pre	s2	166	0.342268041237113
Treatment naive	P16_pre	s3	89	0.183505154639175
Treatment naive	P16_pre	s4	6	0.0123711340206186
Treatment naive	P17_pre	s1	141	0.296218487394958
Treatment naive	P17_pre	s2	195	0.409663865546218
Treatment naive	P17_pre	s3	112	0.235294117647059
Treatment naive	P17_pre	s4	28	0.0588235294117647
Treatment naive	P18_pre	s1	436	0.397085610200364
Treatment naive	P18_pre	s2	446	0.406193078324226
Treatment naive	P18_pre	s3	143	0.13023679417122
Treatment naive	P18_pre	s4	73	0.0664845173041894
Treatment naive	P19_pre	s1	1916	0.556329849012776
Treatment naive	P19_pre	s2	927	0.269163763066202
Treatment naive	P19_pre	s3	296	0.0859465737514518
Treatment naive	P19_pre	s4	305	0.0885598141695703
Treatment naive	P1_pre	s1	382	0.194204372140315
Treatment naive	P1_pre	s2	1179	0.599389933909507
Treatment naive	P1_pre	s3	305	0.155058464667006
